source	target	paths	pathways	diseases	source_orthologs	other_orthologs
NCBIGene:55768	NCBIGene:358	1852	35	17	1	9
NCBIGene:55768	NCBIGene:11826	0	0	0	0	0
NCBIGene:55768	NCBIGene:4779	1504	18	17	1	12
NCBIGene:55768	NCBIGene:64772	680	8	12	1	6
NCBIGene:55768	NCBIGene:360	1068	16	17	1	9
NCBIGene:55768	NCBIGene:282679	940	11	17	1	10
NCBIGene:358	NCBIGene:55768	416	8	10	1	5
NCBIGene:358	NCBIGene:11826	0	0	0	0	0
NCBIGene:358	NCBIGene:4779	1140	18	21	1	11
NCBIGene:358	NCBIGene:64772	328	6	7	1	5
NCBIGene:358	NCBIGene:360	2672	23	21	1	11
NCBIGene:358	NCBIGene:282679	1284	13	21	1	11
NCBIGene:11826	NCBIGene:55768	0	0	0	0	0
NCBIGene:11826	NCBIGene:358	0	0	0	0	0
NCBIGene:11826	NCBIGene:4779	0	0	0	0	0
NCBIGene:11826	NCBIGene:64772	0	0	0	0	0
NCBIGene:11826	NCBIGene:360	0	0	0	0	0
NCBIGene:11826	NCBIGene:282679	0	0	0	0	0
NCBIGene:4779	NCBIGene:55768	388	8	16	1	5
NCBIGene:4779	NCBIGene:358	2704	81	31	1	9
NCBIGene:4779	NCBIGene:11826	0	0	0	0	0
NCBIGene:4779	NCBIGene:64772	252	5	11	1	5
NCBIGene:4779	NCBIGene:360	1436	22	29	1	9
NCBIGene:4779	NCBIGene:282679	876	13	29	1	9
NCBIGene:64772	NCBIGene:55768	204	11	1	1	6
NCBIGene:64772	NCBIGene:358	360	31	1	1	7
NCBIGene:64772	NCBIGene:11826	0	0	0	0	0
NCBIGene:64772	NCBIGene:4779	224	14	1	1	10
NCBIGene:64772	NCBIGene:360	236	16	1	1	8
NCBIGene:64772	NCBIGene:282679	168	11	1	1	9
NCBIGene:360	NCBIGene:55768	20	3	4	1	2
NCBIGene:360	NCBIGene:358	4288	79	18	1	8
NCBIGene:360	NCBIGene:11826	0	0	0	0	0
NCBIGene:360	NCBIGene:4779	528	15	18	1	7
NCBIGene:360	NCBIGene:64772	12	2	3	1	2
NCBIGene:360	NCBIGene:282679	680	12	18	1	7
NCBIGene:282679	NCBIGene:55768	584	8	9	1	6
NCBIGene:282679	NCBIGene:358	4212	82	15	1	10
NCBIGene:282679	NCBIGene:11826	0	0	0	0	0
NCBIGene:282679	NCBIGene:4779	1292	18	14	1	11
NCBIGene:282679	NCBIGene:64772	452	6	6	1	6
NCBIGene:282679	NCBIGene:360	2256	24	16	1	11
