source	target	paths	pathways	diseases	source_orthologs	other_orthologs
NCBIGene:55768	NCBIGene:358	548	22	9	1	8
NCBIGene:55768	NCBIGene:11826	0	0	0	0	0
NCBIGene:55768	NCBIGene:4779	316	12	9	1	8
NCBIGene:55768	NCBIGene:64772	116	5	4	1	3
NCBIGene:55768	NCBIGene:360	284	9	9	1	6
NCBIGene:55768	NCBIGene:282679	260	10	9	1	6
NCBIGene:358	NCBIGene:55768	96	7	5	1	2
NCBIGene:358	NCBIGene:11826	0	0	0	0	0
NCBIGene:358	NCBIGene:4779	432	15	14	1	8
NCBIGene:358	NCBIGene:64772	76	5	4	1	1
NCBIGene:358	NCBIGene:360	1360	23	14	1	8
NCBIGene:358	NCBIGene:282679	692	9	14	1	8
NCBIGene:11826	NCBIGene:55768	0	0	0	0	0
NCBIGene:11826	NCBIGene:358	0	0	0	0	0
NCBIGene:11826	NCBIGene:4779	0	0	0	0	0
NCBIGene:11826	NCBIGene:64772	0	0	0	0	0
NCBIGene:11826	NCBIGene:360	0	0	0	0	0
NCBIGene:11826	NCBIGene:282679	0	0	0	0	0
NCBIGene:4779	NCBIGene:55768	296	8	13	1	5
NCBIGene:4779	NCBIGene:358	1948	42	28	1	7
NCBIGene:4779	NCBIGene:11826	0	0	0	0	0
NCBIGene:4779	NCBIGene:64772	192	5	9	1	5
NCBIGene:4779	NCBIGene:360	1040	21	27	1	8
NCBIGene:4779	NCBIGene:282679	700	12	27	1	8
NCBIGene:64772	NCBIGene:55768	0	0	0	0	0
NCBIGene:64772	NCBIGene:358	0	0	0	0	0
NCBIGene:64772	NCBIGene:11826	0	0	0	0	0
NCBIGene:64772	NCBIGene:4779	0	0	0	0	0
NCBIGene:64772	NCBIGene:360	0	0	0	0	0
NCBIGene:64772	NCBIGene:282679	0	0	0	0	0
NCBIGene:360	NCBIGene:55768	16	3	3	1	2
NCBIGene:360	NCBIGene:358	3536	79	15	1	8
NCBIGene:360	NCBIGene:11826	0	0	0	0	0
NCBIGene:360	NCBIGene:4779	372	15	15	1	7
NCBIGene:360	NCBIGene:64772	12	2	3	1	2
NCBIGene:360	NCBIGene:282679	536	12	15	1	7
NCBIGene:282679	NCBIGene:55768	52	8	2	1	2
NCBIGene:282679	NCBIGene:358	924	42	7	1	8
NCBIGene:282679	NCBIGene:11826	0	0	0	0	0
NCBIGene:282679	NCBIGene:4779	244	16	6	1	5
NCBIGene:282679	NCBIGene:64772	32	5	1	1	1
NCBIGene:282679	NCBIGene:360	600	24	8	1	7
