protein_id	item	itemLabel	altLabel	itemDesc
UniProt:P00811	Q24138857	Penicillin-binding protein; beta-lactamase, intrinsically weak b4150	ampC|b4150	microbial protein found in Escherichia coli str. K-12 substr. MG1655
UniProt:P27695	Q22676734	Apurinic/apyrimidinic endodeoxyribonuclease 1	AP endonuclease 1|APEN|APEX nuclease|REF-1|DNA-(apurinic or apyrimidinic site) lyase|APE-1|APEX1|APEX nuclease (multifunctional DNA repair enzyme) 1|AP endonuclease class I|AP lyase|apurinic-apyrimidinic endonuclease 1|apurinic/apyrimidinic (abasic) endonuclease|deoxyribonuclease (apurinic or apyrimidinic)|protein REF-1|redox factor-1	mammalian protein found in Homo sapiens
UniProt:O75874	Q21116029	Isocitrate dehydrogenase (NADP(+)) 1, cytosolic	IDH1|IDP|Cytosolic NADP-isocitrate dehydrogenase|NADP(+)-specific ICDH|isocitrate dehydrogenase 1 (NADP+), soluble|isocitrate dehydrogenase [NADP] cytoplasmic|epididymis luminal protein 216|epididymis secretory protein Li 26|NADP-dependent isocitrate dehydrogenase, cytosolic|NADP-dependent isocitrate dehydrogenase, peroxisomal|oxalosuccinate decarboxylase	mammalian protein found in Homo sapiens
UniProt:Q6P4F1	Q21110287	Fucosyltransferase 10	FUT10|Fucosyltransferase 10|fuc-TX|alpha (1,3) fucosyltransferase|alpha 1,3-fucosyl transferase|alpha-(1,3)-fucosyltransferase 10|fucT-X|galactoside 3-L-fucosyltransferase 10|fucosyltransferase X	mammalian protein found in Homo sapiens
