phenotype_id
GO:0003094PHENOTYPE
GO:0006833PHENOTYPE
GO:0030104PHENOTYPE
GO:0042060PHENOTYPE
GO:0044241PHENOTYPE
GO:0048593PHENOTYPE
GO:0051458PHENOTYPE
GO:0070295PHENOTYPE
HP:0000708
HP:0000833
HP:0001254
HP:0001508
HP:0001944
HP:0002152
HP:0002795
HP:0004325
HP:0010679
MP:0001402
MP:0002988
MP:0003071
MP:0003631
MP:0004215
MP:0005377
MP:0005379
MP:0005386
MP:0005391
MP:0006317
MP:0006423
MP:0008997
MP:0010053
MP:0010124
MP:0011101
MP:0011443
