metapath_count	metapath_idx	metapath_label	path_count
8	1	"GENE	in 1 to 1 orthology relationship with	GENE	has phenotype	DISO	has phenotype	GENE	in 1 to 1 orthology relationship with	GENE	Source	PHYS	Source	GENE"	16
8	2	"GENE	in 1 to 1 orthology relationship with	GENE	has phenotype	DISO	has phenotype	GENE	in 1 to 1 orthology relationship with	GENE	involved in	PHYS	involved in	GENE"	16
