protein_id	item	itemLabel	altLabel	itemDesc
UniProt:P29972	Q2083074	Aquaporin 1 (Colton blood group)	AQP1|Aquaporin-CHIP|Water channel protein for red blood cells and kidney proximal tubule|aquaporin 1 (channel-forming integral protein, 28kDa, CO blood group)|aquaporin 1, Colton blood group antigen|aquaporin-1|channel-like integral membrane protein, 28-kDa|urine water channel	mammalian protein found in Homo sapiens
UniProt:O94778	Q21106460	Aquaporin 8	AQP8|aquaporin-8	mammalian protein found in Homo sapiens
UniProt:P41181	Q2045854	Aquaporin 2	AQP-CD|WCH-CD|AQP-2|aquaporin-2|AQP2|ADH water channel|Water channel protein for renal collecting duct|aquaporin 2 (collecting duct)|aquaporin-CD|collecting duct water channel protein|water-channel aquaporin 2	mammalian protein found in Homo sapiens
UniProt:P55087	Q3820749	Aquaporin 4	AQP4|Mercurial-insensitive water channel|MIWC|WCH4|aquaporin-4|aquaporin type4	mammalian protein found in Homo sapiens
UniProt:P55064	Q21106470	Aquaporin 5	AQP5|aquaporin-5	mammalian protein found in Homo sapiens
UniProt:Q13520	Q21106475	Aquaporin 6	AQP6|Aquaporin-2-like|hKID|AQP-6|aquaporin-6|aquaporin 2-like, kidney specific|aquaporin-6, kidney specific|kidney-specific aquaporin	mammalian protein found in Homo sapiens
UniProt:P30301	Q21122978	Major intrinsic protein of lens fiber	MIP|MIP26|MP26|Aquaporin-0|lens fiber major intrinsic protein|aquaporin 0	mammalian protein found in Homo sapiens
